Date,Value
2023-01-01,0.09954628
2023-01-02,0.25653791
2023-01-03,0.86867283
2023-01-04,0.70598936
2023-01-05,0.12444324
2023-01-06,0.15351858
2023-01-07,0.77521456
2023-01-08,0.90475014
2023-01-09,0.28923002
2023-01-10,0.41837878
2023-01-11,0.71309736
2023-01-12,0.73111706
2023-01-13,0.70952724
2023-01-14,0.22668831
2023-01-15,0.09580899
2023-01-16,0.29817619
2023-01-17,0.54737464
2023-01-18,0.34984336
2023-01-19,0.39910091
2023-01-20,0.87815483
2023-01-21,0.46995304
2023-01-22,0.41249271
2023-01-23,0.93928658
2023-01-24,0.13515314
2023-01-25,0.5928002
2023-01-26,0.03848172
2023-01-27,0.74125685
2023-01-28,0.3787991
2023-01-29,0.68084833
2023-01-30,0.20017684
2023-01-31,0.55674368
2023-02-01,0.96731128
2023-02-02,0.84295592
2023-02-03,0.29210748
2023-02-04,0.76192063
2023-02-05,0.1302206
2023-02-06,0.39335858
2023-02-07,0.34163633
2023-02-08,0.21588671
2023-02-09,0.02923205
2023-02-10,0.59527432
2023-02-11,0.87829041
2023-02-12,0.02925267
2023-02-13,0.68759076
2023-02-14,0.290597
2023-02-15,0.42596082
2023-02-16,0.10929692
2023-02-17,0.51930587
2023-02-18,0.25172499
2023-02-19,0.35184533
2023-02-20,0.0617622
2023-02-21,0.34291935
2023-02-22,0.12037474
2023-02-23,0.19217255
2023-02-24,0.48598592
2023-02-25,0.99574276
2023-02-26,0.90623585
2023-02-27,0.00270931
2023-02-28,0.30530714
2023-03-01,0.61990725
2023-03-02,0.62036206
2023-03-03,0.35689181
2023-03-04,0.09619716
2023-03-05,0.55723386
2023-03-06,0.1395973
2023-03-07,0.63502268
2023-03-08,0.13603787
2023-03-09,0.26892396
2023-03-10,0.95186437
2023-03-11,0.11723761
2023-03-12,0.38128083
2023-03-13,0.18260104
2023-03-14,0.42434282
2023-03-15,0.30838085
2023-03-16,0.44390256
2023-03-17,0.33109281
2023-03-18,0.65451544
2023-03-19,0.43786821
2023-03-20,0.53924937
2023-03-21,0.36945049
2023-03-22,0.69997158
2023-03-23,0.70750637
2023-03-24,0.52310036
2023-03-25,0.36286595
2023-03-26,0.37345392
2023-03-27,0.47128571
2023-03-28,0.61109245
2023-03-29,0.74151601
2023-03-30,0.8830183
2023-03-31,0.35786806
2023-04-01,0.81086276
2023-04-02,0.50767549
2023-04-03,0.57874439
2023-04-04,0.51698958
2023-04-05,0.91813523
2023-04-06,0.44022624
2023-04-07,0.28415207
2023-04-08,0.34718456
2023-04-09,0.82884451
2023-04-10,0.54561781
2023-04-11,0.86201721
2023-04-12,0.38576574
2023-04-13,0.45184267
2023-04-14,0.78189634
2023-04-15,0.41772626
2023-04-16,0.36324324
2023-04-17,0.73264426
2023-04-18,0.23448778
2023-04-19,0.94163145
2023-04-20,0.73231125
